Exercise Name;Crossfit Session Name;Type of Activity;Type of Equipment;Body Part;Type;Muscle Groups Activated;Instructions
Front Squats;Gymnastics;Warm-up;Bodyweight;Full body;Stretch;Chest, Triceps, Shoulders;Start in a standing position, drop into a squat, kick your legs back into a plank, do a push-up, jump back to standing, and jump up.
Rope Climb;Strength;Cardio;Barbell;Upper body;Push;Back, Biceps, Shoulders;Grip the barbell with your feet hip-width apart, lift by straightening your hips and knees while keeping your back flat.
Toes to Bar;Aerobic Body Building;Strength;Dumbbell;Lower body;Pull;Hamstrings, Glutes, Lower Back;Hold a dumbbell in one hand, hinge forward slightly, then pull the weight towards your hip while keeping your elbow close to your body.
Lunges;Crossfit;Mobility;Kettlebell;Core;Hold;Core, Quads, Glutes;Place the kettlebell in front of you, squat to grab the handle, stand tall, and swing it up to shoulder height using your hips.
Pistol Squats;Conditioning;Warm-up;Medicine Ball;Full body;Stretch;Lats, Biceps, Shoulders;Hang from the bar, then raise your legs up towards the bar in a controlled manner and lower them slowly.
Farmer's Carry;Olympic Weightlifting;Cardio;Resistance Band;Upper body;Push;Chest, Shoulders, Upper Back;Lower into a deep squat, then explode up and press the barbell overhead with one continuous motion.
Dumbbell Snatch;Gymnastics;Strength;Pull-up Bar;Lower body;Pull;Quads, Glutes, Hamstrings;Hold a med ball at your chest, squat deeply, then use your legs and arms to throw the ball to a target overhead.
Muscle-ups;Strength;Mobility;Bodyweight;Core;Hold;Calves, Core, Shoulders;Perform a lunge, then hold the weight overhead while alternating legs in a controlled manner.
Sit-ups;Aerobic Body Building;Warm-up;Barbell;Full body;Stretch;Core, Lower Back;Position yourself on the rings, pull your chest to the rings, then transition into a deep dip, finishing by pressing up.
Air Squats;Crossfit;Cardio;Dumbbell;Upper body;Push;Chest, Triceps, Shoulders;Start in a standing position, drop into a squat, kick your legs back into a plank, do a push-up, jump back to standing, and jump up.
Double Unders;Conditioning;Strength;Kettlebell;Lower body;Pull;Back, Biceps, Shoulders;Grip the barbell with your feet hip-width apart, lift by straightening your hips and knees while keeping your back flat.
Ring Dips;Olympic Weightlifting;Mobility;Medicine Ball;Core;Hold;Hamstrings, Glutes, Lower Back;Hold a dumbbell in one hand, hinge forward slightly, then pull the weight towards your hip while keeping your elbow close to your body.
Sled Push;Gymnastics;Warm-up;Resistance Band;Full body;Stretch;Core, Quads, Glutes;Place the kettlebell in front of you, squat to grab the handle, stand tall, and swing it up to shoulder height using your hips.
Back Squat;Strength;Cardio;Pull-up Bar;Upper body;Push;Lats, Biceps, Shoulders;Hang from the bar, then raise your legs up towards the bar in a controlled manner and lower them slowly.
Clean;Aerobic Body Building;Strength;Bodyweight;Lower body;Pull;Chest, Shoulders, Upper Back;Lower into a deep squat, then explode up and press the barbell overhead with one continuous motion.
Push Jerk;Crossfit;Mobility;Barbell;Core;Hold;Quads, Glutes, Hamstrings;Hold a med ball at your chest, squat deeply, then use your legs and arms to throw the ball to a target overhead.
Strict Press;Conditioning;Warm-up;Dumbbell;Full body;Stretch;Calves, Core, Shoulders;Perform a lunge, then hold the weight overhead while alternating legs in a controlled manner.
Bench Press;Olympic Weightlifting;Cardio;Kettlebell;Upper body;Push;Core, Lower Back;Position yourself on the rings, pull your chest to the rings, then transition into a deep dip, finishing by pressing up.
Good Mornings;Gymnastics;Strength;Medicine Ball;Lower body;Pull;Chest, Triceps, Shoulders;Start in a standing position, drop into a squat, kick your legs back into a plank, do a push-up, jump back to standing, and jump up.
Sumo Deadlift High Pull;Strength;Mobility;Resistance Band;Core;Hold;Back, Biceps, Shoulders;Grip the barbell with your feet hip-width apart, lift by straightening your hips and knees while keeping your back flat.
Turkish Get-up;Aerobic Body Building;Warm-up;Pull-up Bar;Full body;Stretch;Hamstrings, Glutes, Lower Back;Hold a dumbbell in one hand, hinge forward slightly, then pull the weight towards your hip while keeping your elbow close to your body.
Jump Rope;Crossfit;Cardio;Bodyweight;Upper body;Push;Core, Quads, Glutes;Place the kettlebell in front of you, squat to grab the handle, stand tall, and swing it up to shoulder height using your hips.
Windshield Wipers;Conditioning;Strength;Barbell;Lower body;Pull;Lats, Biceps, Shoulders;Hang from the bar, then raise your legs up towards the bar in a controlled manner and lower them slowly.
Leg Raises;Olympic Weightlifting;Mobility;Dumbbell;Core;Hold;Chest, Shoulders, Upper Back;Lower into a deep squat, then explode up and press the barbell overhead with one continuous motion.
Dragon Flags;Gymnastics;Warm-up;Kettlebell;Full body;Stretch;Quads, Glutes, Hamstrings;Hold a med ball at your chest, squat deeply, then use your legs and arms to throw the ball to a target overhead.
Power Clean;Strength;Cardio;Medicine Ball;Upper body;Push;Calves, Core, Shoulders;Perform a lunge, then hold the weight overhead while alternating legs in a controlled manner.
Power Snatch;Aerobic Body Building;Strength;Resistance Band;Lower body;Pull;Core, Lower Back;Position yourself on the rings, pull your chest to the rings, then transition into a deep dip, finishing by pressing up.
Squat Clean;Crossfit;Mobility;Pull-up Bar;Core;Hold;Chest, Triceps, Shoulders;Start in a standing position, drop into a squat, kick your legs back into a plank, do a push-up, jump back to standing, and jump up.
Overhead Lunge;Conditioning;Warm-up;Bodyweight;Full body;Stretch;Back, Biceps, Shoulders;Grip the barbell with your feet hip-width apart, lift by straightening your hips and knees while keeping your back flat.
Medicine Ball Slam;Olympic Weightlifting;Cardio;Barbell;Upper body;Push;Hamstrings, Glutes, Lower Back;Hold a dumbbell in one hand, hinge forward slightly, then pull the weight towards your hip while keeping your elbow close to your body.
Overhead Squats;Gymnastics;Strength;Dumbbell;Lower body;Pull;Core, Quads, Glutes;Place the kettlebell in front of you, squat to grab the handle, stand tall, and swing it up to shoulder height using your hips.
Front Squats;Strength;Mobility;Kettlebell;Core;Hold;Lats, Biceps, Shoulders;Hang from the bar, then raise your legs up towards the bar in a controlled manner and lower them slowly.
Rope Climb;Aerobic Body Building;Warm-up;Medicine Ball;Full body;Stretch;Chest, Shoulders, Upper Back;Lower into a deep squat, then explode up and press the barbell overhead with one continuous motion.
Toes to Bar;Crossfit;Cardio;Resistance Band;Upper body;Push;Quads, Glutes, Hamstrings;Hold a med ball at your chest, squat deeply, then use your legs and arms to throw the ball to a target overhead.
Lunges;Conditioning;Strength;Pull-up Bar;Lower body;Pull;Calves, Core, Shoulders;Perform a lunge, then hold the weight overhead while alternating legs in a controlled manner.
Pistol Squats;Olympic Weightlifting;Mobility;Bodyweight;Core;Hold;Core, Lower Back;Position yourself on the rings, pull your chest to the rings, then transition into a deep dip, finishing by pressing up.
Farmer's Carry;Gymnastics;Warm-up;Barbell;Full body;Stretch;Chest, Triceps, Shoulders;Start in a standing position, drop into a squat, kick your legs back into a plank, do a push-up, jump back to standing, and jump up.
