,id,exercise_name,session_name,type_of_activity,type_of_equipment,body_part,type,muscle_groups_activated,instructions
14,14,Weighted Sit-Ups,Crossfit,Warm-up,Kettlebell,Upper body,Stretch,"Biceps, Shoulders",Warm-up adequately before performing this exercise to prevent injury.
15,15,Sumo High Pull,Crossfit,Mobility,Bodyweight,Upper body,Stretch,"Upper Chest, Shoulders","Focus on controlling the movement to avoid injury, especially when using heavy weights."
16,16,Landmine Squats,Aerobic Body Building,Strength,Resistance Band,Upper body,Stretch,"Core, Shoulders","Make sure to use explosive power when needed, especially for dynamic exercises."
17,17,Kettlebell Windmill,Conditioning,Warm-up,Dumbbells,Full body,Stretch,"Shoulders, Triceps","Focus on controlling the movement to avoid injury, especially when using heavy weights."
18,18,Reverse Lunges,Conditioning,Strength,Pull-up Bar,Lower body,Pull,"Shoulders, Triceps",Start with a lighter weight or progression if you're new to this exercise.
19,19,Jerk Balance,Crossfit,Strength,Dumbbells,Upper body,Pull,"Lats, Biceps","Ensure your breathing is controlled, exhaling during the exertion phase."
20,20,Kettlebell Windmill,Crossfit,Mobility,Medicine Ball,Lower body,Pull,"Core, Shoulders",Warm-up adequately before performing this exercise to prevent injury.
21,21,Deadlift,Gymnastics,Strength,Medicine Ball,Lower body,Hold,"Core, Shoulders",Perform the movement with a full range of motion while maintaining proper posture.
22,22,Split Squats,Strength,Strength,Bodyweight,Core,Stretch,"Biceps, Shoulders",Perform the movement with a full range of motion while maintaining proper posture.
23,23,Split Squats,Olympic Weightlifting,Mobility,Dumbbells,Full body,Push,"Quads, Glutes","Ensure your breathing is controlled, exhaling during the exertion phase."
24,24,Toe-to-Bar,Conditioning,Mobility,Dumbbells,Full body,Stretch,"Hamstrings, Glutes","Make sure to use explosive power when needed, especially for dynamic exercises."
25,25,Windshield Wipers,Strength,Cardio,Barbell,Upper body,Push,"Lower Back, Core",Maintain a strong core throughout the exercise for better stability.
26,26,Broad Jumps,Crossfit,Mobility,Kettlebell,Full body,Stretch,"Chest, Triceps",Perform the movement with a full range of motion while maintaining proper posture.
27,27,Dumbbell Snatch,Crossfit,Strength,Barbell,Upper body,Stretch,"Lats, Biceps",Maintain a strong core throughout the exercise for better stability.
28,28,Dumbbell Thrusters,Strength,Strength,Kettlebell,Full body,Hold,"Lower Back, Core",Warm-up adequately before performing this exercise to prevent injury.
29,29,Strict Press,Crossfit,Cardio,Pull-up Bar,Upper body,Push,"Hamstrings, Glutes",Warm-up adequately before performing this exercise to prevent injury.
30,30,Weighted Step-Ups,Gymnastics,Mobility,Barbell,Lower body,Pull,"Lats, Biceps","Ensure your breathing is controlled, exhaling during the exertion phase."
31,31,Decline Push-Ups,Gymnastics,Cardio,Barbell,Upper body,Hold,"Glutes, Hamstrings",Maintain a strong core throughout the exercise for better stability.
32,32,Zercher Squats,Aerobic Body Building,Mobility,Dumbbells,Upper body,Pull,"Lower Back, Core","Make sure to use explosive power when needed, especially for dynamic exercises."
33,33,Double Dumbbell Deadlift,Crossfit,Warm-up,Barbell,Core,Pull,"Biceps, Shoulders",Warm-up adequately before performing this exercise to prevent injury.
34,34,Scapular Push-Ups,Gymnastics,Strength,Kettlebell,Upper body,Pull,"Lower Back, Core","Focus on controlling the movement to avoid injury, especially when using heavy weights."
35,35,V-Ups,Conditioning,Warm-up,Bodyweight,Upper body,Pull,"Lats, Biceps",Stretch before and after this exercise for better mobility and recovery.
36,36,Kettlebell Snatch,Aerobic Body Building,Mobility,Medicine Ball,Lower body,Stretch,"Shoulders, Triceps",Maintain a strong core throughout the exercise for better stability.
37,37,Seated Box Jumps,Olympic Weightlifting,Mobility,Kettlebell,Full body,Pull,"Upper Chest, Shoulders",Keep your back straight and hinge at the hips for proper form.
38,38,Scapular Push-Ups,Aerobic Body Building,Mobility,Pull-up Bar,Upper body,Pull,"Biceps, Shoulders","Ensure your breathing is controlled, exhaling during the exertion phase."
39,39,Single Arm Snatch,Olympic Weightlifting,Mobility,Medicine Ball,Core,Pull,"Lower Back, Core","Focus on controlling the movement to avoid injury, especially when using heavy weights."
40,40,Banded Tricep Pushdowns,Strength,Mobility,Bodyweight,Upper body,Pull,"Lats, Biceps",Keep your back straight and hinge at the hips for proper form.
41,41,Wall Ball Sit-Ups,Crossfit,Warm-up,Kettlebell,Core,Stretch,"Lower Back, Core",Perform the movement with a full range of motion while maintaining proper posture.
42,42,Inverted Row,Gymnastics,Mobility,Resistance Band,Upper body,Stretch,"Core, Shoulders",Maintain a strong core throughout the exercise for better stability.
43,43,Tire Drag,Conditioning,Strength,Dumbbells,Full body,Pull,"Chest, Triceps",Stretch before and after this exercise for better mobility and recovery.
44,44,Push Press,Crossfit,Strength,Barbell,Core,Stretch,"Core, Shoulders",Start with a lighter weight or progression if you're new to this exercise.
45,45,Tire Drag,Olympic Weightlifting,Cardio,Resistance Band,Upper body,Hold,"Lower Back, Core",Keep your back straight and hinge at the hips for proper form.
46,46,Front Squat,Olympic Weightlifting,Warm-up,Dumbbells,Full body,Pull,"Chest, Triceps","Focus on controlling the movement to avoid injury, especially when using heavy weights."
47,47,Zercher Squats,Conditioning,Warm-up,Medicine Ball,Lower body,Hold,"Shoulders, Triceps",Start with a lighter weight or progression if you're new to this exercise.
48,48,Split Snatch,Gymnastics,Mobility,Resistance Band,Full body,Stretch,"Biceps, Shoulders",Start with a lighter weight or progression if you're new to this exercise.
49,49,AbMat Sit-Ups,Crossfit,Mobility,Medicine Ball,Lower body,Stretch,"Core, Shoulders",Perform the movement with a full range of motion while maintaining proper posture.
50,50,Deadlift,Crossfit,Cardio,Medicine Ball,Upper body,Hold,"Upper Chest, Shoulders",Keep your back straight and hinge at the hips for proper form.
51,51,Thrusters,Aerobic Body Building,Cardio,Barbell,Lower body,Push,"Hamstrings, Glutes","Focus on controlling the movement to avoid injury, especially when using heavy weights."
52,52,V-Bar Pull-Ups,Strength,Warm-up,Barbell,Upper body,Pull,"Chest, Triceps",Start with a lighter weight or progression if you're new to this exercise.
53,53,Strict T2B,Crossfit,Mobility,Barbell,Upper body,Hold,"Lats, Biceps",Perform the movement with a full range of motion while maintaining proper posture.
54,54,Rowing,Strength,Strength,Barbell,Full body,Push,"Quads, Glutes",Maintain a strong core throughout the exercise for better stability.
55,55,Rope Jumping,Conditioning,Warm-up,Kettlebell,Core,Push,"Quads, Glutes",Start with a lighter weight or progression if you're new to this exercise.
56,56,Sled Drag,Crossfit,Cardio,Bodyweight,Lower body,Pull,"Upper Chest, Shoulders",Perform the movement with a full range of motion while maintaining proper posture.
57,57,Front Rack Lunge,Crossfit,Warm-up,Barbell,Lower body,Push,"Glutes, Hamstrings",Stretch before and after this exercise for better mobility and recovery.
58,58,Wall Ball Sit-Ups,Aerobic Body Building,Cardio,Barbell,Core,Push,"Hamstrings, Glutes",Maintain a strong core throughout the exercise for better stability.
59,59,Strict Muscle-Up,Strength,Warm-up,Bodyweight,Core,Hold,"Shoulders, Triceps","Ensure your breathing is controlled, exhaling during the exertion phase."
60,60,Cossack Squat,Strength,Mobility,Barbell,Upper body,Pull,"Glutes, Hamstrings",Stretch before and after this exercise for better mobility and recovery.
61,61,Kettlebell Turkish Get-Up,Conditioning,Strength,Kettlebell,Core,Hold,"Hamstrings, Glutes",Start with a lighter weight or progression if you're new to this exercise.
62,62,Russian Twists,Gymnastics,Cardio,Barbell,Full body,Push,"Upper Chest, Shoulders",Warm-up adequately before performing this exercise to prevent injury.
63,63,Farmer's Carry,Crossfit,Cardio,Medicine Ball,Full body,Pull,"Hamstrings, Glutes","Focus on controlling the movement to avoid injury, especially when using heavy weights."
64,64,Sled Pull,Gymnastics,Warm-up,Medicine Ball,Full body,Stretch,"Hamstrings, Glutes",Maintain a strong core throughout the exercise for better stability.
65,65,Incline Bench Press,Conditioning,Strength,Dumbbells,Upper body,Hold,"Upper Chest, Shoulders",Stretch before and after this exercise for better mobility and recovery.
66,66,Front Rack Lunge,Aerobic Body Building,Strength,Pull-up Bar,Upper body,Stretch,"Biceps, Shoulders",Perform the movement with a full range of motion while maintaining proper posture.
67,67,Bulgarian Split Squats,Strength,Cardio,Medicine Ball,Upper body,Hold,"Upper Chest, Shoulders",Start with a lighter weight or progression if you're new to this exercise.
68,68,Pike Push-Ups,Strength,Cardio,Pull-up Bar,Upper body,Stretch,"Chest, Triceps","Make sure to use explosive power when needed, especially for dynamic exercises."
69,69,Pistol Hold,Strength,Strength,Bodyweight,Upper body,Hold,"Upper Chest, Shoulders",Stretch before and after this exercise for better mobility and recovery.
70,70,Step-Ups,Conditioning,Strength,Resistance Band,Core,Stretch,"Upper Chest, Shoulders","Focus on controlling the movement to avoid injury, especially when using heavy weights."
71,71,Dumbbell Power Clean,Olympic Weightlifting,Cardio,Barbell,Full body,Push,"Glutes, Hamstrings","Ensure your breathing is controlled, exhaling during the exertion phase."
72,72,Box Squat,Strength,Strength,Dumbbells,Full body,Pull,"Upper Chest, Shoulders","Ensure your breathing is controlled, exhaling during the exertion phase."
73,73,Rope Climbs with Holds,Strength,Strength,Resistance Band,Core,Stretch,"Hamstrings, Glutes",Perform the movement with a full range of motion while maintaining proper posture.
74,74,Jerk Balance,Aerobic Body Building,Warm-up,Resistance Band,Full body,Pull,"Chest, Triceps",Stretch before and after this exercise for better mobility and recovery.
75,75,Hollow Body to Superman,Strength,Strength,Kettlebell,Full body,Push,"Biceps, Shoulders",Stretch before and after this exercise for better mobility and recovery.
76,76,Sandbag Squats,Aerobic Body Building,Mobility,Pull-up Bar,Core,Stretch,"Shoulders, Triceps",Maintain a strong core throughout the exercise for better stability.
77,77,Sledgehammer Slams,Crossfit,Cardio,Kettlebell,Lower body,Pull,"Lats, Biceps",Perform the movement with a full range of motion while maintaining proper posture.
78,78,Overhead Squat,Conditioning,Cardio,Resistance Band,Full body,Pull,"Biceps, Shoulders",Warm-up adequately before performing this exercise to prevent injury.
79,79,Pistol Hold,Aerobic Body Building,Strength,Bodyweight,Lower body,Pull,"Core, Shoulders",Warm-up adequately before performing this exercise to prevent injury.
80,80,Deadlift,Olympic Weightlifting,Warm-up,Pull-up Bar,Core,Hold,"Lower Back, Core","Make sure to use explosive power when needed, especially for dynamic exercises."
81,81,Scapular Pull-Up,Strength,Strength,Kettlebell,Core,Stretch,"Core, Shoulders",Stretch before and after this exercise for better mobility and recovery.
82,82,Weighted Pistol Squat,Conditioning,Mobility,Pull-up Bar,Upper body,Stretch,"Shoulders, Triceps","Ensure your breathing is controlled, exhaling during the exertion phase."
83,83,Good Mornings,Crossfit,Strength,Bodyweight,Core,Hold,"Lats, Biceps",Warm-up adequately before performing this exercise to prevent injury.
84,84,One Arm Dumbbell Snatch,Gymnastics,Cardio,Barbell,Upper body,Pull,"Glutes, Hamstrings",Perform the movement with a full range of motion while maintaining proper posture.
85,85,Barbell Front Rack Carry,Strength,Mobility,Medicine Ball,Core,Stretch,"Hamstrings, Glutes",Keep your back straight and hinge at the hips for proper form.
86,86,One Arm Dumbbell Snatch,Crossfit,Warm-up,Medicine Ball,Lower body,Hold,"Chest, Triceps",Keep your back straight and hinge at the hips for proper form.
87,87,Snatch,Conditioning,Warm-up,Resistance Band,Core,Pull,"Shoulders, Triceps","Ensure your breathing is controlled, exhaling during the exertion phase."
88,88,Barbell Thruster,Strength,Strength,Pull-up Bar,Core,Hold,"Lats, Biceps",Maintain a strong core throughout the exercise for better stability.
89,89,Broad Jumps,Conditioning,Mobility,Bodyweight,Full body,Pull,"Hamstrings, Glutes",Perform the movement with a full range of motion while maintaining proper posture.
90,90,Inverted Shoulder Press,Conditioning,Mobility,Medicine Ball,Full body,Pull,"Lats, Biceps",Stretch before and after this exercise for better mobility and recovery.
91,91,Farmer Walk with Dumbbells,Olympic Weightlifting,Strength,Medicine Ball,Full body,Hold,"Glutes, Hamstrings",Warm-up adequately before performing this exercise to prevent injury.
92,92,Bear Crawl Drags,Conditioning,Warm-up,Medicine Ball,Core,Push,"Chest, Triceps",Warm-up adequately before performing this exercise to prevent injury.
93,93,Sandbag Squats,Olympic Weightlifting,Warm-up,Pull-up Bar,Lower body,Pull,"Glutes, Hamstrings",Maintain a strong core throughout the exercise for better stability.
94,94,Overhead Press,Olympic Weightlifting,Strength,Barbell,Upper body,Hold,"Lats, Biceps",Perform the movement with a full range of motion while maintaining proper posture.
95,95,Weighted Vest Burpees,Olympic Weightlifting,Warm-up,Barbell,Upper body,Hold,"Hamstrings, Glutes",Stretch before and after this exercise for better mobility and recovery.
96,96,Floor Press,Gymnastics,Strength,Pull-up Bar,Core,Stretch,"Biceps, Shoulders","Focus on controlling the movement to avoid injury, especially when using heavy weights."
97,97,Decline Push-Ups,Crossfit,Warm-up,Pull-up Bar,Core,Hold,"Biceps, Shoulders",Start with a lighter weight or progression if you're new to this exercise.
98,98,Dumbbell Deadlift,Gymnastics,Mobility,Pull-up Bar,Lower body,Pull,"Chest, Triceps","Ensure your breathing is controlled, exhaling during the exertion phase."
99,99,Plank Hold,Olympic Weightlifting,Mobility,Kettlebell,Full body,Hold,"Core, Shoulders",Start with a lighter weight or progression if you're new to this exercise.
100,100,Pistol Hold,Gymnastics,Strength,Bodyweight,Core,Push,"Glutes, Hamstrings","Focus on controlling the movement to avoid injury, especially when using heavy weights."
101,101,Strict Ring Muscle-Ups,Gymnastics,Strength,Dumbbells,Upper body,Pull,"Quads, Glutes","Ensure your breathing is controlled, exhaling during the exertion phase."
102,102,Clapping Push-Ups,Olympic Weightlifting,Strength,Medicine Ball,Core,Pull,"Quads, Glutes","Ensure your breathing is controlled, exhaling during the exertion phase."
103,103,Pistol Hold,Olympic Weightlifting,Mobility,Medicine Ball,Core,Stretch,"Chest, Triceps",Stretch before and after this exercise for better mobility and recovery.
104,104,Air Squats,Gymnastics,Cardio,Resistance Band,Full body,Push,"Hamstrings, Glutes","Ensure your breathing is controlled, exhaling during the exertion phase."
105,105,Push-Up Claps,Gymnastics,Warm-up,Medicine Ball,Upper body,Hold,"Quads, Glutes","Make sure to use explosive power when needed, especially for dynamic exercises."
106,106,Kettlebell Swings,Conditioning,Mobility,Barbell,Lower body,Pull,"Core, Shoulders",Maintain a strong core throughout the exercise for better stability.
107,107,Strict Press,Strength,Mobility,Medicine Ball,Upper body,Hold,"Hamstrings, Glutes",Warm-up adequately before performing this exercise to prevent injury.
108,108,Hang Power Snatch,Conditioning,Mobility,Pull-up Bar,Upper body,Stretch,"Glutes, Hamstrings",Start with a lighter weight or progression if you're new to this exercise.
109,109,Jump Rope,Gymnastics,Warm-up,Dumbbells,Core,Stretch,"Biceps, Shoulders",Keep your back straight and hinge at the hips for proper form.
110,110,Incline Bench Press,Gymnastics,Warm-up,Resistance Band,Upper body,Push,"Chest, Triceps",Perform the movement with a full range of motion while maintaining proper posture.
111,111,Dumbbell Walking Lunge,Strength,Strength,Dumbbells,Upper body,Pull,"Quads, Glutes",Maintain a strong core throughout the exercise for better stability.
112,112,Straight Leg Deadlift,Aerobic Body Building,Warm-up,Kettlebell,Lower body,Pull,"Core, Shoulders",Keep your back straight and hinge at the hips for proper form.
113,113,Band-Assisted Pull-Ups,Crossfit,Mobility,Bodyweight,Upper body,Pull,"Shoulders, Triceps","Make sure to use explosive power when needed, especially for dynamic exercises."
114,114,Explosive Push-Ups,Crossfit,Warm-up,Bodyweight,Core,Push,"Quads, Glutes","Make sure to use explosive power when needed, especially for dynamic exercises."
115,115,Power Jerk,Aerobic Body Building,Warm-up,Pull-up Bar,Full body,Hold,"Biceps, Shoulders","Ensure your breathing is controlled, exhaling during the exertion phase."
116,116,Front Squat,Gymnastics,Warm-up,Resistance Band,Lower body,Hold,"Glutes, Hamstrings",Stretch before and after this exercise for better mobility and recovery.
117,117,Seated Row,Strength,Warm-up,Dumbbells,Core,Stretch,"Lower Back, Core","Ensure your breathing is controlled, exhaling during the exertion phase."
118,118,Sandbag Carry,Gymnastics,Cardio,Bodyweight,Lower body,Stretch,"Chest, Triceps",Warm-up adequately before performing this exercise to prevent injury.
119,119,Wall Balls,Conditioning,Mobility,Medicine Ball,Lower body,Push,"Shoulders, Triceps",Keep your back straight and hinge at the hips for proper form.
120,120,Box Jumps,Conditioning,Strength,Pull-up Bar,Full body,Push,"Chest, Triceps",Warm-up adequately before performing this exercise to prevent injury.
121,121,Turkish Sit-Up,Aerobic Body Building,Mobility,Barbell,Upper body,Pull,"Glutes, Hamstrings","Ensure your breathing is controlled, exhaling during the exertion phase."
122,122,Sledgehammer Slams,Gymnastics,Warm-up,Kettlebell,Upper body,Stretch,"Upper Chest, Shoulders",Warm-up adequately before performing this exercise to prevent injury.
123,123,Kipping Pull-Ups,Conditioning,Strength,Resistance Band,Full body,Pull,"Shoulders, Triceps","Focus on controlling the movement to avoid injury, especially when using heavy weights."
124,124,Sledgehammer Slams,Olympic Weightlifting,Strength,Bodyweight,Full body,Hold,"Hamstrings, Glutes",Maintain a strong core throughout the exercise for better stability.
125,125,Handstand Hold,Aerobic Body Building,Strength,Medicine Ball,Lower body,Hold,"Hamstrings, Glutes","Make sure to use explosive power when needed, especially for dynamic exercises."
126,126,Good Mornings,Aerobic Body Building,Cardio,Pull-up Bar,Core,Hold,"Lower Back, Core",Start with a lighter weight or progression if you're new to this exercise.
127,127,Deficit Deadlift,Olympic Weightlifting,Warm-up,Medicine Ball,Lower body,Hold,"Upper Chest, Shoulders",Perform the movement with a full range of motion while maintaining proper posture.
128,128,Single Arm Snatch,Conditioning,Cardio,Kettlebell,Full body,Push,"Lower Back, Core",Start with a lighter weight or progression if you're new to this exercise.
129,129,Deficit Deadlift,Gymnastics,Cardio,Kettlebell,Core,Pull,"Lower Back, Core","Focus on controlling the movement to avoid injury, especially when using heavy weights."
130,130,Double Dumbbell Deadlift,Conditioning,Cardio,Resistance Band,Lower body,Push,"Glutes, Hamstrings",Start with a lighter weight or progression if you're new to this exercise.
131,131,Hang Power Snatch,Olympic Weightlifting,Mobility,Medicine Ball,Upper body,Stretch,"Quads, Glutes",Start with a lighter weight or progression if you're new to this exercise.
132,132,Turkish Sit-Up,Strength,Strength,Bodyweight,Lower body,Hold,"Glutes, Hamstrings","Make sure to use explosive power when needed, especially for dynamic exercises."
133,133,Jerk Balance,Strength,Cardio,Dumbbells,Full body,Hold,"Shoulders, Triceps","Focus on controlling the movement to avoid injury, especially when using heavy weights."
134,134,Deficit Push-Ups,Gymnastics,Strength,Medicine Ball,Upper body,Push,"Chest, Triceps",Maintain a strong core throughout the exercise for better stability.
135,135,Wall Ball Cleans,Aerobic Body Building,Mobility,Medicine Ball,Lower body,Stretch,"Lower Back, Core",Start with a lighter weight or progression if you're new to this exercise.
136,136,Split Squats,Conditioning,Mobility,Barbell,Lower body,Stretch,"Lower Back, Core",Perform the movement with a full range of motion while maintaining proper posture.
137,137,Lunge Twists,Conditioning,Warm-up,Resistance Band,Upper body,Stretch,"Glutes, Hamstrings",Stretch before and after this exercise for better mobility and recovery.
138,138,Superman Hold,Strength,Strength,Barbell,Core,Push,"Shoulders, Triceps",Warm-up adequately before performing this exercise to prevent injury.
139,139,Tire Drag,Strength,Mobility,Dumbbells,Lower body,Pull,"Lats, Biceps","Make sure to use explosive power when needed, especially for dynamic exercises."
140,140,Snatch,Crossfit,Cardio,Dumbbells,Full body,Push,"Hamstrings, Glutes",Maintain a strong core throughout the exercise for better stability.
141,141,Weighted Roll-Outs,Gymnastics,Cardio,Bodyweight,Lower body,Pull,"Chest, Triceps","Make sure to use explosive power when needed, especially for dynamic exercises."
142,142,Wall Balls,Aerobic Body Building,Strength,Pull-up Bar,Lower body,Hold,"Core, Shoulders","Make sure to use explosive power when needed, especially for dynamic exercises."
143,143,Pull-ups,Olympic Weightlifting,Mobility,Kettlebell,Lower body,Stretch,"Upper Chest, Shoulders",Keep your back straight and hinge at the hips for proper form.
144,144,Overhead Squat,Gymnastics,Mobility,Barbell,Lower body,Hold,"Chest, Triceps",Perform the movement with a full range of motion while maintaining proper posture.
145,145,Reverse Hyper,Aerobic Body Building,Cardio,Medicine Ball,Core,Hold,"Core, Shoulders",Perform the movement with a full range of motion while maintaining proper posture.
146,146,Toes to Rings,Conditioning,Warm-up,Dumbbells,Upper body,Stretch,"Lats, Biceps",Start with a lighter weight or progression if you're new to this exercise.
147,147,Banded Good Mornings,Gymnastics,Warm-up,Bodyweight,Upper body,Hold,"Biceps, Shoulders","Make sure to use explosive power when needed, especially for dynamic exercises."
148,148,Bar Muscle-Ups,Olympic Weightlifting,Warm-up,Medicine Ball,Core,Pull,"Quads, Glutes",Keep your back straight and hinge at the hips for proper form.
149,149,Sled Push,Conditioning,Cardio,Resistance Band,Upper body,Push,"Shoulders, Triceps","Make sure to use explosive power when needed, especially for dynamic exercises."
150,150,Kettlebell Figure 8,Crossfit,Mobility,Resistance Band,Upper body,Pull,"Lats, Biceps",Stretch before and after this exercise for better mobility and recovery.
151,151,Barbell Thruster,Gymnastics,Mobility,Bodyweight,Upper body,Push,"Quads, Glutes",Keep your back straight and hinge at the hips for proper form.
152,152,High Pull,Gymnastics,Strength,Resistance Band,Upper body,Stretch,"Chest, Triceps",Warm-up adequately before performing this exercise to prevent injury.
153,153,Hollow Rock,Gymnastics,Mobility,Medicine Ball,Lower body,Stretch,"Lats, Biceps","Ensure your breathing is controlled, exhaling during the exertion phase."
154,154,Overhead Carries,Olympic Weightlifting,Mobility,Resistance Band,Full body,Stretch,"Lats, Biceps",Perform the movement with a full range of motion while maintaining proper posture.
155,155,Overhead Kettlebell Squats,Crossfit,Strength,Medicine Ball,Upper body,Pull,"Glutes, Hamstrings","Focus on controlling the movement to avoid injury, especially when using heavy weights."
156,156,Seated Kettlebell Press,Aerobic Body Building,Mobility,Kettlebell,Upper body,Hold,"Lats, Biceps","Ensure your breathing is controlled, exhaling during the exertion phase."
157,157,Squat Snatch,Crossfit,Warm-up,Kettlebell,Upper body,Pull,"Upper Chest, Shoulders",Maintain a strong core throughout the exercise for better stability.
158,158,Seated Kettlebell Press,Strength,Strength,Barbell,Upper body,Stretch,"Hamstrings, Glutes",Start with a lighter weight or progression if you're new to this exercise.
159,159,Box Handstand Push-Up,Conditioning,Warm-up,Pull-up Bar,Upper body,Pull,"Chest, Triceps",Keep your back straight and hinge at the hips for proper form.
160,160,Squat Snatch,Gymnastics,Cardio,Barbell,Full body,Stretch,"Upper Chest, Shoulders",Stretch before and after this exercise for better mobility and recovery.
161,161,Axle Bar Deadlift,Conditioning,Warm-up,Resistance Band,Core,Hold,"Biceps, Shoulders","Make sure to use explosive power when needed, especially for dynamic exercises."
162,162,Tire Flips,Crossfit,Cardio,Bodyweight,Core,Stretch,"Lats, Biceps","Ensure your breathing is controlled, exhaling during the exertion phase."
163,163,Dumbbell Deadlift,Aerobic Body Building,Cardio,Barbell,Lower body,Stretch,"Quads, Glutes",Start with a lighter weight or progression if you're new to this exercise.
164,164,Barbell Lunges,Gymnastics,Strength,Bodyweight,Core,Pull,"Biceps, Shoulders",Start with a lighter weight or progression if you're new to this exercise.
165,165,Jerk Balance,Olympic Weightlifting,Warm-up,Dumbbells,Upper body,Stretch,"Lats, Biceps",Start with a lighter weight or progression if you're new to this exercise.
166,166,Weighted Pistol Squat,Aerobic Body Building,Strength,Barbell,Full body,Push,"Quads, Glutes",Maintain a strong core throughout the exercise for better stability.
167,167,Bulgarian Split Squats,Crossfit,Cardio,Medicine Ball,Core,Stretch,"Core, Shoulders","Ensure your breathing is controlled, exhaling during the exertion phase."
168,168,Handstand Hold,Crossfit,Warm-up,Resistance Band,Upper body,Hold,"Chest, Triceps",Stretch before and after this exercise for better mobility and recovery.
169,169,Overhead Kettlebell Squats,Gymnastics,Mobility,Kettlebell,Upper body,Pull,"Glutes, Hamstrings","Make sure to use explosive power when needed, especially for dynamic exercises."
170,170,Zercher Squats,Strength,Cardio,Bodyweight,Upper body,Stretch,"Upper Chest, Shoulders",Keep your back straight and hinge at the hips for proper form.
171,171,Alternating Dumbbell Snatch,Gymnastics,Strength,Resistance Band,Upper body,Push,"Hamstrings, Glutes",Maintain a strong core throughout the exercise for better stability.
172,172,Snatch Balance,Conditioning,Mobility,Dumbbells,Full body,Pull,"Chest, Triceps","Ensure your breathing is controlled, exhaling during the exertion phase."
173,173,Ring Muscle-Ups,Conditioning,Warm-up,Bodyweight,Core,Pull,"Hamstrings, Glutes","Focus on controlling the movement to avoid injury, especially when using heavy weights."
174,174,Kettlebell Turkish Get-Up,Gymnastics,Warm-up,Dumbbells,Upper body,Stretch,"Shoulders, Triceps",Stretch before and after this exercise for better mobility and recovery.
175,175,Prowler Push/Pull,Gymnastics,Warm-up,Pull-up Bar,Full body,Stretch,"Biceps, Shoulders",Keep your back straight and hinge at the hips for proper form.
176,176,Ring Muscle-Ups,Gymnastics,Mobility,Medicine Ball,Core,Pull,"Glutes, Hamstrings",Perform the movement with a full range of motion while maintaining proper posture.
177,177,Goblet Squat,Conditioning,Strength,Medicine Ball,Lower body,Pull,"Lower Back, Core",Start with a lighter weight or progression if you're new to this exercise.
178,178,Explosive Push-Ups,Strength,Strength,Barbell,Full body,Pull,"Biceps, Shoulders",Maintain a strong core throughout the exercise for better stability.
179,179,Bodyweight Squat Hold,Conditioning,Strength,Pull-up Bar,Upper body,Hold,"Upper Chest, Shoulders","Ensure your breathing is controlled, exhaling during the exertion phase."
180,180,Scapular Push-Ups,Crossfit,Mobility,Kettlebell,Full body,Pull,"Lats, Biceps",Keep your back straight and hinge at the hips for proper form.
181,181,Lying Leg Raise,Strength,Cardio,Bodyweight,Upper body,Push,"Lats, Biceps",Stretch before and after this exercise for better mobility and recovery.
