"Pull-ups";"Crossfit";"Strength";"Pull-up Bar";"Upper body";"Pull";"Lats, Biceps, Shoulders, Upper Back";"Grip the pull-up bar with an overhand grip, pull your body up until your chin clears the bar, then lower slowly."
"Thrusters";"Crossfit";"Strength";"Barbell";"Full body";"Push";"Quads, Glutes, Shoulders, Core";"Start with the barbell at shoulder height, squat down, then push through your legs and press the bar overhead in one fluid motion."
"Wall Balls";"Crossfit";"Strength";"Medicine Ball";"Full body";"Push";"Quads, Glutes, Shoulders, Core";"Hold the medicine ball at your chest, squat, then stand and throw the ball to a target above you."
"Handstand Push-ups";"Gymnastics";"Strength";"Bodyweight";"Upper body";"Push";"Shoulders, Triceps, Core";"Kick into a handstand position against a wall and lower your head to the floor, then press back up to full extension."
"Box Jumps";"Conditioning";"Cardio";"Box";"Lower body";"Push";"Quads, Glutes, Calves";"Jump onto a box from a standing position with both feet, land softly, then stand tall and step down carefully."
"Snatch";"Olympic Weightlifting";"Strength";"Barbell";"Full body";"Pull";"Hamstrings, Glutes, Shoulders, Core";"Pull the barbell from the ground and lift it overhead in one motion, catching it in a squat and standing up."
"Overhead Squats";"Crossfit";"Strength";"Barbell";"Lower body";"Push";"Quads, Glutes, Core";"Hold a barbell overhead with arms fully extended, squat down while keeping the weight overhead and chest upright."
"Front Squats";"Crossfit";"Strength";"Barbell";"Lower body";"Push";"Quads, Glutes, Core";"Hold the barbell on your shoulders, squat down, keeping your elbows high, and stand back up."
"Rope Climb";"Gymnastics";"Strength";"Rope";"Upper body";"Pull";"Lats, Biceps, Shoulders";"Climb the rope using both arms and legs, pulling yourself up hand over hand until you reach the top."
"Toes to Bar";"Crossfit";"Strength";"Pull-up Bar";"Core";"Pull";"Abs, Hip Flexors, Shoulders";"Hang from the bar and lift your toes to touch the bar, then lower your legs with control."
"Lunges";"Conditioning";"Strength";"Bodyweight";"Lower body";"Push";"Quads, Hamstrings, Glutes";"Step forward into a lunge position, lower your back knee towards the floor, and push back to a standing position."
"Pistol Squats";"Gymnastics";"Strength";"Bodyweight";"Lower body";"Push";"Quads, Glutes, Core";"Stand on one leg and squat down while keeping the other leg extended forward, then push back up to standing."
"Farmer's Carry";"Conditioning";"Strength";"Dumbbell";"Full body";"Hold";"Grip, Shoulders, Core";"Hold a dumbbell in each hand and walk a set distance while maintaining an upright posture."
"Dumbbell Snatch";"Crossfit";"Strength";"Dumbbell";"Full body";"Pull";"Quads, Glutes, Shoulders, Core";"Lift a dumbbell from the floor to overhead in one motion, switching arms after each rep."
"Muscle-ups";"Gymnastics";"Strength";"Rings";"Upper body";"Pull";"Lats, Biceps, Shoulders, Chest";"Start hanging from rings, pull yourself up, and transition into a dip before pressing up to full extension."
"Sit-ups";"Crossfit";"Cardio";"Bodyweight";"Core";"Hold";"Abs, Hip Flexors";"Lie on your back with knees bent, sit up and touch your toes, then return to the starting position."
"Russian Twists";"Crossfit";"Cardio";"Bodyweight";"Core";"Hold";"Abs, Obliques";"Sit with your knees bent, lean back slightly, twist your torso side to side while touching the floor with your hands."
"Double Unders";"Conditioning";"Cardio";"Jump Rope";"Lower body";"Pull";"Calves, Quads, Shoulders";"Jump and pass the rope under your feet twice per jump. Keep your core tight and use your wrists to spin the rope."
"Goblet Squat";"Crossfit";"Strength";"Kettlebell";"Lower body";"Push";"Quads, Glutes, Core";"Hold a kettlebell at your chest, squat down keeping your chest up and push through your heels to stand."
"Rowing";"Crossfit";"Cardio";"Rower";"Full body";"Pull";"Legs, Back, Core";"Strap your feet in, push off with your legs, lean back, and pull the handle towards your chest."
"Clean and Jerk";"Olympic Weightlifting";"Strength";"Barbell";"Full body";"Pull, Push";"Quads, Glutes, Shoulders, Core";"Lift the barbell from the ground to your shoulders (clean), then drive it overhead (jerk)."
"Bear Crawl";"Conditioning";"Mobility";"Bodyweight";"Full body";"Hold";"Shoulders, Core, Legs";"Crawl forward on hands and feet while keeping your hips low and core engaged."
"Push-ups";"Crossfit";"Strength";"Bodyweight";"Upper body";"Push";"Chest, Triceps, Shoulders";"Start in a plank position, lower your chest to the floor, then push back up to full extension."
"Sumo Deadlift High Pull";"Crossfit";"Strength";"Barbell";"Full body";"Pull";"Quads, Glutes, Shoulders, Core";"With a wide stance, pull the barbell from the ground to your chin by extending your legs and pulling with your arms."
"Turkish Get-Up";"Gymnastics";"Strength";"Kettlebell";"Full body";"Hold";"Shoulders, Core, Glutes";"From a lying position, hold a kettlebell overhead and stand up, keeping the kettlebell overhead throughout the movement."
"Ring Dips";"Gymnastics";"Strength";"Rings";"Upper body";"Push";"Triceps, Chest, Shoulders";"Lower yourself on the rings until your shoulders are below your elbows, then press back up."
"V-Ups";"Crossfit";"Cardio";"Bodyweight";"Core";"Hold";"Abs, Hip Flexors";"Lie on your back and raise your legs and upper body simultaneously, reaching your hands to your toes."
"Broad Jumps";"Conditioning";"Cardio";"Bodyweight";"Lower body";"Push";"Quads, Glutes, Hamstrings";"Jump forward as far as you can, land softly, and repeat."
"Bar Muscle-ups";"Crossfit";"Strength";"Pull-up Bar";"Upper body";"Pull";"Lats, Biceps, Shoulders, Chest";"Pull yourself up on the bar, then transition into a dip before pressing up."
"Windshield Wipers";"Crossfit";"Mobility";"Bodyweight";"Core";"Hold";"Abs, Obliques";"Hang from a pull-up bar and rotate your legs side to side in a controlled manner."
"Rower Sprints";"Conditioning";"Cardio";"Rower";"Full body";"Pull";"Quads, Glutes, Back";"Set the rower for sprints and row at maximum effort for a set time or distance."
"Walking Lunges";"Conditioning";"Mobility";"Bodyweight";"Lower body";"Push";"Quads, Hamstrings, Glutes";"Step forward into a lunge position, push off the back foot, and continue stepping forward."
"Strict Press";"Crossfit";"Strength";"Barbell";"Upper body";"Push";"Shoulders, Triceps, Upper Chest";"Lift the barbell from shoulder height to overhead without using your legs."
"Med Ball Cleans";"Crossfit";"Strength";"Medicine Ball";"Full body";"Pull";"Quads, Glutes, Core";"Lift the medicine ball from the floor to your shoulders, keeping your chest up and driving through your legs."
"Hang Power Clean";"Olympic Weightlifting";"Strength";"Barbell";"Full body";"Pull";"Quads, Glutes, Shoulders, Core";"Lift the barbell from just above the knees to your shoulders in one motion."
"Bench Press";"Crossfit";"Strength";"Barbell";"Upper body";"Push";"Chest, Triceps, Shoulders";"Lie on a bench and press the barbell from your chest to full extension."
"Power Clean";"Crossfit";"Strength";"Barbell";"Full body";"Pull";"Quads, Glutes, Shoulders, Core";"Pull the bar from the ground to your shoulders by extending your legs and pulling with your arms."
"Air Squats";"Conditioning";"Cardio";"Bodyweight";"Lower body";"Push";"Quads, Glutes";"Stand with feet shoulder-width apart, squat down keeping your chest up, and stand back up."
"Hollow Hold";"Crossfit";"Strength";"Bodyweight";"Core";"Hold";"Abs, Hip Flexors";"Lie on your back, lift your legs and shoulders off the floor, and hold the position while keeping your core engaged."
"Bench Dips";"Crossfit";"Strength";"Bodyweight";"Upper body";"Push";"Triceps, Shoulders, Chest";"Place your hands on a bench behind you, lower your body by bending your elbows, and push back up."
"Step-ups";"Conditioning";"Cardio";"Box";"Lower body";"Push";"Quads, Glutes, Calves";"Step onto a box with one foot, stand tall, then step down and repeat with the other foot."
"Clean Pull";"Olympic Weightlifting";"Strength";"Barbell";"Full body";"Pull";"Quads, Hamstrings, Shoulders";"Pull the barbell from the floor to just below your chest, keeping your arms straight."
"Ring Rows";"Gymnastics";"Strength";"Rings";"Upper body";"Pull";"Lats, Biceps, Upper Back";"Hang from rings at an angle, pull your chest to the rings, and lower back down."
"Strict Handstand Push-ups";"Gymnastics";"Strength";"Bodyweight";"Upper body";"Push";"Shoulders, Triceps, Core";"Kick up into a handstand against a wall, lower your head to the floor, and press back up."
"Walking Plank";"Crossfit";"Mobility";"Bodyweight";"Core";"Hold";"Abs, Shoulders, Triceps";"Start in a plank position and walk your hands side to side while keeping your core tight."
"Dumbbell Thrusters";"Crossfit";"Strength";"Dumbbells";"Full body";"Push";"Quads, Shoulders, Glutes, Core";"Hold dumbbells at your shoulders, squat, and push through your legs to press the dumbbells overhead."
"Bear Hug Squat";"Conditioning";"Strength";"Sandbag";"Full body";"Push";"Quads, Glutes, Core";"Hold a sandbag against your chest, squat down, and stand back up."
"Push Jerk";"Crossfit";"Strength";"Barbell";"Upper body";"Push";"Shoulders, Triceps, Chest";"Start with a barbell at shoulder height, dip your knees, and drive the bar overhead while splitting your legs."
"Dumbbell Deadlift";"Crossfit";"Strength";"Dumbbells";"Lower body";"Pull";"Hamstrings, Glutes, Lower Back";"Grip the dumbbells, keep your back flat, and lift by straightening your hips and knees."
"High Knees";"Conditioning";"Cardio";"Bodyweight";"Lower body";"Pull";"Quads, Hip Flexors, Core";"Run in place while bringing your knees as high as possible."
"Box Step Overs";"Crossfit";"Strength";"Box";"Lower body";"Push";"Quads, Glutes, Core";"Step onto a box and step down on the other side, alternating feet with each step."
"Power Snatch";"Olympic Weightlifting";"Strength";"Barbell";"Full body";"Pull";"Quads, Glutes, Shoulders, Core";"Lift the barbell from the floor to overhead in one motion, catching it in a partial squat."
"Split Jerk";"Crossfit";"Strength";"Barbell";"Upper body";"Push";"Shoulders, Quads, Triceps, Core";"Start with the barbell at your shoulders, dip your knees, and drive the bar overhead while splitting your legs."
"Jumping Jacks";"Conditioning";"Cardio";"Bodyweight";"Full body";"Push";"Quads, Calves, Shoulders";"Jump your legs apart while raising your arms overhead, then return to the starting position."
"Handstand Walk";"Gymnastics";"Strength";"Bodyweight";"Upper body";"Hold";"Shoulders, Triceps, Core";"Walk forward on your hands while keeping your body straight and core engaged."
"Dumbbell Clean and Press";"Crossfit";"Strength";"Dumbbells";"Full body";"Pull, Push";"Quads, Shoulders, Glutes";"Lift the dumbbells from the floor to your shoulders, then press them overhead."
"Renegade Rows";"Crossfit";"Strength";"Dumbbells";"Upper body";"Pull";"Lats, Biceps, Shoulders, Core";"In a plank position, row one dumbbell to your side while keeping your core tight, then switch sides."
"Single-arm Kettlebell Swing";"Conditioning";"Cardio";"Kettlebell";"Lower body";"Pull";"Hamstrings, Glutes, Core, Shoulders";"Swing the kettlebell between your legs and up to shoulder height with one arm, alternating after each rep."
"Glute Bridge";"Crossfit";"Mobility";"Bodyweight";"Lower body";"Push";"Glutes, Hamstrings, Lower Back";"Lie on your back with knees bent, lift your hips towards the ceiling, and squeeze your glutes at the top."
"Rope Slams";"Conditioning";"Cardio";"Battle Rope";"Full body";"Pull";"Shoulders, Core, Legs";"Grab the battle ropes, slam them down onto the ground in a rhythmic motion as quickly as possible."
"Alternating Dumbbell Snatch";"Crossfit";"Strength";"Dumbbells";"Full body";"Pull";"Quads, Glutes, Shoulders, Core";"Lift a dumbbell from the floor to overhead in one motion, alternating arms after each rep."
"Wall Walks";"Gymnastics";"Mobility";"Bodyweight";"Upper body";"Hold";"Shoulders, Triceps, Core";"Start in a plank position, walk your feet up the wall while walking your hands closer to the wall."
"Plank to Push-up";"Crossfit";"Strength";"Bodyweight";"Core";"Hold";"Abs, Shoulders, Triceps";"Start in a plank position, lower into a push-up, and return to the plank position."
"Sled Push";"Conditioning";"Strength";"Sled";"Full body";"Push";"Quads, Glutes, Shoulders, Core";"Push a loaded sled as fast as possible over a set distance."
"Devil Press";"Crossfit";"Strength";"Dumbbells";"Full body";"Pull, Push";"Shoulders, Quads, Glutes";"Perform a burpee with dumbbells and, from the floor, clean and press them overhead."
"Sumo Squats";"Crossfit";"Strength";"Bodyweight";"Lower body";"Push";"Quads, Glutes, Core";"Stand with feet wide, squat down keeping your knees over your toes, and push through your heels to stand up."
"Reverse Lunges";"Conditioning";"Mobility";"Bodyweight";"Lower body";"Push";"Quads, Hamstrings, Glutes";"Step backward into a lunge position, lower your back knee, and push back up to standing."
"Battle Rope Waves";"Conditioning";"Cardio";"Battle Rope";"Upper body";"Pull";"Shoulders, Core, Back";"Grip the battle ropes and create alternating waves by moving your arms up and down."
"Standing Calf Raises";"Crossfit";"Mobility";"Bodyweight";"Lower body";"Push";"Calves, Ankles";"Stand tall and raise your heels off the ground, then lower back down in a controlled manner."
"Dumbbell Step-ups";"Crossfit";"Strength";"Dumbbells";"Lower body";"Push";"Quads, Glutes, Core";"Step onto a box with one foot while holding dumbbells, stand tall, and step down."
"Kettlebell Deadlift";"Conditioning";"Strength";"Kettlebell";"Lower body";"Pull";"Hamstrings, Glutes, Lower Back";
"Burpees";"Crossfit";"Cardio";"Bodyweight";"Full body";"Push";"Chest, Triceps, Shoulders, Core, Legs";"Start in a standing position, drop into a squat, kick your legs back into a plank, do a push-up, jump back to standing, and jump up."
"Deadlift";"Olympic Weightlifting";"Strength";"Barbell";"Lower body";"Pull";"Hamstrings, Glutes, Lower Back, Core";"Grip the barbell with your feet hip-width apart, lift by straightening your hips and knees while keeping your back flat."
"Push Press";"Crossfit";"Strength";"Barbell";"Upper body";"Push";"Shoulders, Triceps, Upper Chest";"Start with a barbell at shoulder height, bend your knees slightly, and drive the bar overhead with an explosive push."
"Kettlebell Swings";"Conditioning";"Cardio";"Kettlebell";"Lower body";"Pull";"Hamstrings, Glutes, Lower Back, Core";"Swing the kettlebell between your legs and up to shoulder height by engaging your hips and maintaining a neutral spine."
"Pull-ups";"Crossfit";"Strength";"Pull-up Bar";"Upper body";"Pull";"Lats, Biceps, Shoulders, Upper Back";"Grip the pull-up bar with an overhand grip, pull your body up until your chin clears the bar, then lower slowly."
"Thrusters";"Crossfit";"Strength";"Barbell";"Full body";"Push";"Quads, Glutes, Shoulders, Core";"Start with the barbell at shoulder height, squat down, then push through your legs and press the bar overhead in one fluid motion."
"Wall Balls";"Crossfit";"Strength";"Medicine Ball";"Full body";"Push";"Quads, Glutes, Shoulders, Core";"Hold the medicine ball at your chest, squat, then stand and throw the ball to a target above you."
"Handstand Push-ups";"Gymnastics";"Strength";"Bodyweight";"Upper body";"Push";"Shoulders, Triceps, Core";"Kick into a handstand position against a wall and lower your head to the floor, then press back up to full extension."
"Box Jumps";"Conditioning";"Cardio";"Box";"Lower body";"Push";"Quads, Glutes, Calves";"Jump onto a box from a standing position with both feet, land softly, then stand tall and step down carefully."
"Snatch";"Olympic Weightlifting";"Strength";"Barbell";"Full body";"Pull";"Hamstrings, Glutes, Shoulders, Core";"Pull the barbell from the ground and lift it overhead in one motion, catching it in a squat and standing up."
"Overhead Squats";"Crossfit";"Strength";"Barbell";"Lower body";"Push";"Quads, Glutes, Core";"Hold a barbell overhead with arms fully extended, squat down while keeping the weight overhead and chest upright."
"Front Squats";"Crossfit";"Strength";"Barbell";"Lower body";"Push";"Quads, Glutes, Core";"Hold the barbell on your shoulders, squat down, keeping your elbows high, and stand back up."
"Rope Climb";"Gymnastics";"Strength";"Rope";"Upper body";"Pull";"Lats, Biceps, Shoulders";"Climb the rope using both arms and legs, pulling yourself up hand over hand until you reach the top."
"Toes to Bar";"Crossfit";"Strength";"Pull-up Bar";"Core";"Pull";"Abs, Hip Flexors, Shoulders";"Hang from the bar and lift your toes to touch the bar, then lower your legs with control."
"Lunges";"Conditioning";"Strength";"Bodyweight";"Lower body";"Push";"Quads, Hamstrings, Glutes";"Step forward into a lunge position, lower your back knee towards the floor, and push back to a standing position."
"Pistol Squats";"Gymnastics";"Strength";"Bodyweight";"Lower body";"Push";"Quads, Glutes, Core";"Stand on one leg and squat down while keeping the other leg extended forward, then push back up to standing."
"Farmer's Carry";"Conditioning";"Strength";"Dumbbell";"Full body";"Hold";"Grip, Shoulders, Core";"Hold a dumbbell in each hand and walk a set distance while maintaining an upright posture."
"Dumbbell Snatch";"Crossfit";"Strength";"Dumbbell";"Full body";"Pull";"Quads, Glutes, Shoulders, Core";"Lift a dumbbell from the floor to overhead in one motion, switching arms after each rep."
"Muscle-ups";"Gymnastics";"Strength";"Rings";"Upper body";"Pull";"Lats, Biceps, Shoulders, Chest";"Start hanging from rings, pull yourself up, and transition into a dip before pressing up to full extension."
"Sit-ups";"Crossfit";"Cardio";"Bodyweight";"Core";"Hold";"Abs, Hip Flexors";"Lie on your back with knees bent, sit up and touch your toes, then return to the starting position."
"Russian Twists";"Crossfit";"Cardio";"Bodyweight";"Core";"Hold";"Abs, Obliques";"Sit with your knees bent, lean back slightly, twist your torso side to side while touching the floor with your hands."
"Double Unders";"Conditioning";"Cardio";"Jump Rope";"Lower body";"Pull";"Calves, Quads, Shoulders";"Jump and pass the rope under your feet twice per jump. Keep your core tight and use your wrists to spin the rope."
"Goblet Squat";"Crossfit";"Strength";"Kettlebell";"Lower body";"Push";"Quads, Glutes, Core";"Hold a kettlebell at your chest, squat down keeping your chest up and push through your heels to stand."
"Rowing";"Crossfit";"Cardio";"Rower";"Full body";"Pull";"Legs, Back, Core";"Strap your feet in, push off with your legs, lean back, and pull the handle towards your chest."
"Clean and Jerk";"Olympic Weightlifting";"Strength";"Barbell";"Full body";"Pull, Push";"Quads, Glutes, Shoulders, Core";"Lift the barbell from the ground to your shoulders (clean), then drive it overhead (jerk)."
"Bear Crawl";"Conditioning";"Mobility";"Bodyweight";"Full body";"Hold";"Shoulders, Core, Legs";"Crawl forward on hands and feet while keeping your hips low and core engaged."
"Push-ups";"Crossfit";"Strength";"Bodyweight";"Upper body";"Push";"Chest, Triceps, Shoulders";"Start in a plank position, lower your chest to the floor, then push back up to full extension."
"Sumo Deadlift High Pull";"Crossfit";"Strength";"Barbell";"Full body";"Pull";"Quads, Glutes, Shoulders, Core";"With a wide stance, pull the barbell from the ground to your chin by extending your legs and pulling with your arms."
"Turkish Get-Up";"Gymnastics";"Strength";"Kettlebell";"Full body";"Hold";"Shoulders, Core, Glutes";"From a lying position, hold a kettlebell overhead and stand up, keeping the kettlebell overhead throughout the movement."
"Ring Dips";"Gymnastics";"Strength";"Rings";"Upper body";"Push";"Triceps, Chest, Shoulders";"Lower yourself on the rings until your shoulders are below your elbows, then press back up."
"V-Ups";"Crossfit";"Cardio";"Bodyweight";"Core";"Hold";"Abs, Hip Flexors";"Lie on your back and raise your legs and upper body simultaneously, reaching your hands to your toes."
"Broad Jumps";"Conditioning";"Cardio";"Bodyweight";"Lower body";"Push";"Quads, Glutes, Hamstrings";"Jump forward as far as you can, land softly, and repeat."
"Bar Muscle-ups";"Crossfit";"Strength";"Pull-up Bar";"Upper body";"Pull";"Lats, Biceps, Shoulders, Chest";"Pull yourself up on the bar, then transition into a dip before pressing up."
"Windshield Wipers";"Crossfit";"Mobility";"Bodyweight";"Core";"Hold";"Abs, Obliques";"Hang from a pull-up bar and rotate your legs side to side in a controlled manner."
"Rower Sprints";"Conditioning";"Cardio";"Rower";"Full body";"Pull";"Quads, Glutes, Back";"Set the rower for sprints and row at maximum effort for a set time or distance."
"Walking Lunges";"Conditioning";"Mobility";"Bodyweight";"Lower body";"Push";"Quads, Hamstrings, Glutes";"Step forward into a lunge position, push off the back foot, and continue stepping forward."
"Strict Press";"Crossfit";"Strength";"Barbell";"Upper body";"Push";"Shoulders, Triceps, Upper Chest";"Lift the barbell from shoulder height to overhead without using your legs."
"Med Ball Cleans";"Crossfit";"Strength";"Medicine Ball";"Full body";"Pull";"Quads, Glutes, Core";"Lift the medicine ball from the floor to your shoulders, keeping your chest up and driving through your legs."
"Hang Power Clean";"Olympic Weightlifting";"Strength";"Barbell";"Full body";"Pull";"Quads, Glutes, Shoulders, Core";"Lift the barbell from just above the knees to your shoulders in one motion."
"Bench Press";"Crossfit";"Strength";"Barbell";"Upper body";"Push";"Chest, Triceps, Shoulders";"Lie on a bench and press the barbell from your chest to full extension."
"Burpee Box Jumps";"Conditioning";"Cardio";"Box";"Full body";"Push";"Quads, Glutes, Shoulders, Core";"Perform a burpee, then jump onto a box and step down, repeating the movement."
"Barbell Front Squat";"Crossfit";"Strength";"Barbell";"Lower body";"Push";"Quads, Glutes, Core";"Hold the barbell at shoulder height, squat down, and push through your heels to stand back up."
"Ring Muscle-ups";"Gymnastics";"Strength";"Rings";"Upper body";"Pull";"Lats, Biceps, Chest, Core";"Pull yourself up through the rings and press out to finish at the top of the movement."
"Barbell Push Press";"Crossfit";"Strength";"Barbell";"Upper body";"Push";"Shoulders, Triceps, Chest";"Start with the barbell at your shoulders, dip your knees, and press the bar overhead using your legs and arms."
"Single-leg Deadlift";"Crossfit";"Mobility";"Dumbbells";"Lower body";"Pull";"Hamstrings, Glutes, Lower Back";"Hold a dumbbell in one hand, hinge at the hips, and lower the weight while balancing on one leg."
"Jump Rope";"Conditioning";"Cardio";"Jump Rope";"Full body";"Hold";"Calves, Quads, Core";"Jump continuously while swinging the rope under your feet."
"Med Ball Cleans";"Crossfit";"Strength";"Medicine Ball";"Full body";"Pull";"Quads, Glutes, Core";"Squat down to pick up a medicine ball and clean it to your chest in one fluid motion."
"Tire Flips";"Conditioning";"Strength";"Tire";"Full body";"Pull, Push";"Quads, Glutes, Core, Shoulders";"Grip the tire, squat down, and flip it forward using your whole body."
"V-ups";"Gymnastics";"Strength";"Bodyweight";"Core";"Hold";"Abs, Hip Flexors";"Lie on your back, lift your legs and upper body simultaneously, reaching for your toes."
"Push-ups";"Crossfit";"Strength";"Bodyweight";"Upper body";"Push";"Chest, Triceps, Shoulders, Core";"Start in a plank position, lower your chest to the floor, and push back up."
"Rowing";"Conditioning";"Cardio";"Rowing Machine";"Full body";"Pull";"Quads, Glutes, Back, Core";"Pull the handle towards your chest while pushing through your legs in a seated rowing position."
